datetime,station_id,lat,lon,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,overall_aqi,day_of_week,month,hour_sin,hour_cos
2021-01-03 22:45:00+00:00,6943,19.1135051,73.008978,950.0,,41.67,22.52,198.0,115.0,,6.58,,9500,6,1,-0.5000000000000004,0.8660254037844384
2021-01-03 23:00:00+00:00,6943,19.1135051,73.008978,940.0,,61.45,14.02,198.0,118.3,,7.01,,9400,6,1,-0.25881904510252157,0.9659258262890681
2021-01-03 23:15:00+00:00,6943,19.1135051,73.008978,950.0,,60.25,15.24,198.0,126.0,,5.12,,9500,6,1,-0.25881904510252157,0.9659258262890681
2021-01-03 23:30:00+00:00,6943,19.1135051,73.008978,900.0,,54.94,27.65,196.97,126.0,,4.37,,9000,6,1,-0.25881904510252157,0.9659258262890681
2021-01-03 23:45:00+00:00,6943,19.1135051,73.008978,870.0,,40.43,25.55,195.0,126.0,,4.94,,8700,6,1,-0.25881904510252157,0.9659258262890681
2021-01-04 00:15:00+00:00,6943,19.1135051,73.008978,960.0,,61.69,20.33,195.0,119.0,,6.31,,9600,0,1,0.0,1.0
2021-01-04 00:45:00+00:00,6943,19.1135051,73.008978,930.0,,36.89,25.68,215.0,119.0,,5.91,,9300,0,1,0.0,1.0
2021-01-04 01:30:00+00:00,6943,19.1135051,73.008978,1080.0,,57.52,21.47,206.73,125.0,,7.57,,10800,0,1,0.25881904510252074,0.9659258262890683
2021-01-04 03:00:00+00:00,6943,19.1135051,73.008978,970.0,,42.66,32.72,201.0,135.5,,4.77,,9700,0,1,0.7071067811865476,0.7071067811865476
2021-01-04 03:15:00+00:00,6943,19.1135051,73.008978,950.0,,33.66,29.8,201.0,132.0,,5.57,,9500,0,1,0.7071067811865476,0.7071067811865476
2021-01-04 03:45:00+00:00,6943,19.1135051,73.008978,1220.0,,51.12,29.1,196.0,132.0,,7.77,,12200,0,1,0.7071067811865476,0.7071067811865476
2021-01-04 04:15:00+00:00,6943,19.1135051,73.008978,960.0,,35.96,51.2,196.0,137.0,,9.1,,9600,0,1,0.8660254037844386,0.5000000000000001
2021-01-04 06:45:00+00:00,6943,19.1135051,73.008978,1100.0,,54.03,93.55,250.0,154.0,,9.92,,11000,0,1,1.0,6.123233995736766e-17
2021-01-04 08:30:00+00:00,6943,19.1135051,73.008978,1690.0,,106.83,116.36,238.22,139.0,,6.94,,16900,0,1,0.8660254037844387,-0.4999999999999998
2021-01-04 09:15:00+00:00,6943,19.1135051,73.008978,1530.0,,95.02,118.33,271.0,174.0,,5.01,,15300,0,1,0.7071067811865476,-0.7071067811865475
2021-01-04 09:30:00+00:00,6943,19.1135051,73.008978,1530.0,,93.43,109.25,275.13,174.0,,5.95,,15300,0,1,0.7071067811865476,-0.7071067811865475
2021-01-04 10:15:00+00:00,6943,19.1135051,73.008978,1550.0,,99.94,107.49,283.0,149.0,,6.53,,15500,0,1,0.49999999999999994,-0.8660254037844387
2021-01-04 13:30:00+00:00,6943,19.1135051,73.008978,1320.0,,99.66,53.79,257.8,151.0,,6.46,,13200,0,1,-0.2588190451025208,-0.9659258262890683
2021-01-04 14:15:00+00:00,6943,19.1135051,73.008978,1610.0,,116.49,34.35,246.0,148.0,,8.9,,16100,0,1,-0.4999999999999997,-0.8660254037844388
2021-01-04 15:30:00+00:00,6943,19.1135051,73.008978,1670.0,,105.2,25.44,255.56,160.0,,6.32,,16700,0,1,-0.7071067811865471,-0.7071067811865479
2021-01-04 18:15:00+00:00,6943,19.1135051,73.008978,1250.0,,53.28,34.9,231.0,149.0,,5.29,,12500,0,1,-1.0,-1.8369701987210297e-16
2021-01-04 20:00:00+00:00,6943,19.1135051,73.008978,1240.0,,50.89,28.06,232.0,160.47,,7.28,,12400,0,1,-0.8660254037844386,0.5000000000000001
2021-01-04 21:00:00+00:00,6943,19.1135051,73.008978,1130.0,,52.36,31.76,237.0,164.8,,7.65,,11300,0,1,-0.7071067811865477,0.7071067811865474
2021-01-04 22:30:00+00:00,6943,19.1135051,73.008978,1080.0,,48.48,44.7,202.72,148.0,,8.64,,10800,0,1,-0.5000000000000004,0.8660254037844384
2021-01-04 23:00:00+00:00,6943,19.1135051,73.008978,1000.0,,52.23,31.96,206.0,148.9,,7.95,,10000,0,1,-0.25881904510252157,0.9659258262890681
2021-01-04 23:15:00+00:00,6943,19.1135051,73.008978,940.0,,37.73,50.63,206.0,151.0,,6.75,,9400,0,1,-0.25881904510252157,0.9659258262890681
2021-01-05 00:30:00+00:00,6943,19.1135051,73.008978,960.0,,33.32,22.89,192.72,149.0,,5.98,,9600,1,1,0.0,1.0
2021-01-05 01:15:00+00:00,6943,19.1135051,73.008978,900.0,,44.93,17.7,196.0,140.0,,4.49,,9000,1,1,0.25881904510252074,0.9659258262890683
2021-01-05 02:00:00+00:00,6943,19.1135051,73.008978,1190.0,,41.24,27.3,183.0,138.2,,5.71,,11900,1,1,0.49999999999999994,0.8660254037844387
2021-01-05 02:15:00+00:00,6943,19.1135051,73.008978,1110.0,,39.51,37.51,183.0,134.0,,4.83,,11100,1,1,0.49999999999999994,0.8660254037844387
2021-01-05 03:15:00+00:00,6943,19.1135051,73.008978,1160.0,,40.36,48.72,216.0,171.0,,4.36,,11600,1,1,0.7071067811865476,0.7071067811865476
2021-01-05 03:30:00+00:00,6943,19.1135051,73.008978,1110.0,,36.86,55.15,231.5,171.0,,5.17,,11100,1,1,0.7071067811865476,0.7071067811865476
2021-01-05 03:45:00+00:00,6943,19.1135051,73.008978,1210.0,,48.07,46.91,261.0,171.0,,6.48,,12100,1,1,0.7071067811865476,0.7071067811865476
2021-01-05 04:15:00+00:00,6943,19.1135051,73.008978,1180.0,,40.94,50.79,261.0,165.0,,10.46,,11800,1,1,0.8660254037844386,0.5000000000000001
2021-01-05 04:30:00+00:00,6943,19.1135051,73.008978,1130.0,,39.22,62.03,262.38,165.0,,13.05,,11300,1,1,0.8660254037844386,0.5000000000000001
2021-01-05 05:15:00+00:00,6943,19.1135051,73.008978,1220.0,,37.15,64.53,265.0,179.0,,14.29,,12200,1,1,0.9659258262890683,0.25881904510252074
2021-01-05 05:30:00+00:00,6943,19.1135051,73.008978,1210.0,,40.6,65.51,269.82,179.0,,13.33,,12100,1,1,0.9659258262890683,0.25881904510252074
2021-01-05 06:30:00+00:00,6943,19.1135051,73.008978,1090.0,,33.1,84.13,273.11,162.0,,13.55,,10900,1,1,1.0,6.123233995736766e-17
2021-01-05 08:00:00+00:00,6943,19.1135051,73.008978,1140.0,,43.43,117.85,236.0,143.8,,7.57,,11400,1,1,0.8660254037844387,-0.4999999999999998
2021-01-05 08:15:00+00:00,6943,19.1135051,73.008978,1130.0,,40.14,120.11,236.0,,,6.88,,11300,1,1,0.8660254037844387,-0.4999999999999998
2021-01-05 13:45:00+00:00,6943,19.1135051,73.008978,1620.0,,113.76,25.33,247.0,152.0,,5.9,,16200,1,1,-0.2588190451025208,-0.9659258262890683
2021-01-05 14:15:00+00:00,6943,19.1135051,73.008978,1950.0,,,,247.0,,,,,19500,1,1,-0.4999999999999997,-0.8660254037844388
2021-01-05 14:30:00+00:00,6943,19.1135051,73.008978,2060.0,,137.91,29.56,255.96,167.0,,10.39,,20600,1,1,-0.4999999999999997,-0.8660254037844388
2021-01-05 15:15:00+00:00,6943,19.1135051,73.008978,1750.0,,92.12,35.95,273.0,174.0,,6.52,,17500,1,1,-0.7071067811865471,-0.7071067811865479
2021-01-05 15:30:00+00:00,6943,19.1135051,73.008978,2220.0,,115.08,31.44,279.24,174.0,,7.29,,22200,1,1,-0.7071067811865471,-0.7071067811865479
2021-01-05 17:00:00+00:00,6943,19.1135051,73.008978,1390.0,,51.75,44.86,256.0,177.3,,5.26,,13900,1,1,-0.9659258262890683,-0.25881904510252063
2021-01-05 17:30:00+00:00,6943,19.1135051,73.008978,1320.0,,38.71,43.57,256.69,178.0,,5.18,,13200,1,1,-0.9659258262890683,-0.25881904510252063
2021-01-05 17:45:00+00:00,6943,19.1135051,73.008978,1360.0,,39.32,43.33,258.0,178.0,,6.09,,13600,1,1,-0.9659258262890683,-0.25881904510252063
2021-01-05 18:45:00+00:00,6943,19.1135051,73.008978,1270.0,,68.43,45.05,233.0,173.0,,4.68,,12700,1,1,-1.0,-1.8369701987210297e-16
2021-01-05 19:15:00+00:00,6943,19.1135051,73.008978,1150.0,,46.57,46.29,233.0,158.0,,6.18,,11500,1,1,-0.9659258262890684,0.2588190451025203
2021-01-05 19:30:00+00:00,6943,19.1135051,73.008978,1110.0,,55.83,62.3,225.77,158.0,,6.78,,11100,1,1,-0.9659258262890684,0.2588190451025203
2021-01-05 20:15:00+00:00,6943,19.1135051,73.008978,1300.0,,90.04,22.42,212.0,161.0,,5.71,,13000,1,1,-0.8660254037844386,0.5000000000000001
2021-01-05 20:45:00+00:00,6943,19.1135051,73.008978,1230.0,,45.9,40.12,241.0,161.0,,6.58,,12300,1,1,-0.8660254037844386,0.5000000000000001
2021-01-05 21:00:00+00:00,6943,19.1135051,73.008978,1280.0,,50.99,28.02,241.0,165.98,,6.04,,12800,1,1,-0.7071067811865477,0.7071067811865474
2021-01-05 23:30:00+00:00,6943,19.1135051,73.008978,1090.0,,39.34,40.15,254.62,171.0,,8.74,,10900,1,1,-0.25881904510252157,0.9659258262890681
2021-01-06 00:15:00+00:00,6943,19.1135051,73.008978,1010.0,,42.97,31.68,252.0,168.0,,6.77,,10100,2,1,0.0,1.0
2021-01-06 01:00:00+00:00,6943,19.1135051,73.008978,1120.0,,40.12,20.71,215.0,166.16,,8.23,,11200,2,1,0.25881904510252074,0.9659258262890683
2021-01-06 01:45:00+00:00,6943,19.1135051,73.008978,1210.0,,45.95,19.19,236.0,162.0,,5.52,,12100,2,1,0.25881904510252074,0.9659258262890683
2021-01-06 02:00:00+00:00,6943,19.1135051,73.008978,1180.0,,45.89,29.88,236.0,166.91,,7.79,,11800,2,1,0.49999999999999994,0.8660254037844387
2021-01-06 02:30:00+00:00,6943,19.1135051,73.008978,1070.0,,,,,,,,,10700,2,1,0.49999999999999994,0.8660254037844387
2021-01-06 04:30:00+00:00,6943,19.1135051,73.008978,1090.0,,34.49,56.77,248.33,173.0,,11.24,,10900,2,1,0.8660254037844386,0.5000000000000001
2021-01-06 05:00:00+00:00,6943,19.1135051,73.008978,1040.0,,31.17,66.27,263.0,173.3,,10.01,,10400,2,1,0.9659258262890683,0.25881904510252074
2021-01-06 05:30:00+00:00,6943,19.1135051,73.008978,930.0,,27.56,74.66,258.67,174.0,,12.75,,9300,2,1,0.9659258262890683,0.25881904510252074
2021-01-06 06:45:00+00:00,6943,19.1135051,73.008978,10.0,,27.59,0.0,218.0,155.0,,11.3,,327,2,1,1.0,6.123233995736766e-17
2021-01-06 08:15:00+00:00,6943,19.1135051,73.008978,770.0,,21.55,174.53,216.0,119.0,,1.29,,7700,2,1,0.8660254037844387,-0.4999999999999998
2021-01-06 09:00:00+00:00,6943,19.1135051,73.008978,900.0,,37.69,176.06,178.0,116.0,,114.07,,9000,2,1,0.7071067811865476,-0.7071067811865475
2021-01-06 10:30:00+00:00,6943,19.1135051,73.008978,1040.0,,46.03,131.56,188.59,93.0,,307.06,,10400,2,1,0.49999999999999994,-0.8660254037844387
2021-01-06 13:00:00+00:00,6943,19.1135051,73.008978,1290.0,,84.07,66.24,257.0,159.2,,263.56,,12900,2,1,-0.2588190451025208,-0.9659258262890683
2021-01-06 13:30:00+00:00,6943,19.1135051,73.008978,2400.0,,140.98,14.42,262.17,162.0,,18.93,,24000,2,1,-0.2588190451025208,-0.9659258262890683
2021-01-06 14:45:00+00:00,6943,19.1135051,73.008978,1950.0,,139.82,19.87,299.0,182.0,,12.11,,19500,2,1,-0.4999999999999997,-0.8660254037844388
2021-01-06 15:15:00+00:00,6943,19.1135051,73.008978,2520.0,,137.04,13.7,299.0,198.0,,11.7,,25200,2,1,-0.7071067811865471,-0.7071067811865479
2021-01-06 16:00:00+00:00,6943,19.1135051,73.008978,2010.0,,106.95,18.35,313.0,199.87,,9.76,,20100,2,1,-0.8660254037844385,-0.5000000000000004
2021-01-06 19:45:00+00:00,6943,19.1135051,73.008978,1180.0,,31.0,56.12,201.0,169.0,,8.22,,11800,2,1,-0.9659258262890684,0.2588190451025203
2021-01-06 20:00:00+00:00,6943,19.1135051,73.008978,1140.0,,38.03,55.35,201.0,165.4,,7.12,,11400,2,1,-0.8660254037844386,0.5000000000000001
2021-01-06 21:00:00+00:00,6943,19.1135051,73.008978,1130.0,,45.62,42.63,210.0,156.4,,9.05,,11300,2,1,-0.7071067811865477,0.7071067811865474
2021-01-06 21:30:00+00:00,6943,19.1135051,73.008978,1070.0,,37.4,57.16,213.0,155.0,,9.07,,10700,2,1,-0.7071067811865477,0.7071067811865474
